questionText,trlLevel,technologyType,category,toolTip
Concept development completed or Prior Search Conducted,1,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Potential users or target beneficiaries identified,1,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Initial prototype of device or diagnostic kit created,2,Agri-Aqua Device and Diagnostic Kits,Technology Status,
First prototype or kit tested for basic functions,2,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Preliminary assessment of user requirements and operational feasibility,2,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
"Working prototype/device refined for usability, accuracy, and/or portability",3,Agri-Aqua Device and Diagnostic Kits,Technology Status,
"Tested for sensitivity, specificity, or measurement accuracy under lab conditions",3,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Proof of Potential Economic Viability,3,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Device/kit validated with positive result under laboratory or controlled field conditions,4,Agri-Aqua Device and Diagnostic Kits,Technology Status,
"Analytical performance confirmed (detection limits, repeatability, or reliability)",4,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Accomplished Initial Business Model Canvas (BMC),4,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Market Research conducted,4,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Device/kit tested under pilot-scale or semi-field conditions,5,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
User Manual for device/kit established,5,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Product promotion Conducted,5,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Meetings with potential industry partners,5,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Agreements with industry parters for product testing secured,6,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Device performance tested in multiple locations,6,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Production/assembly manual established for scalable manufacturing,6,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Technology Commercialization Plan prepared,6,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
IP Valuation Report Prepared,6,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Successful industry validation and replication of device/kit,7,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Standardized protocol/manual for industry-scale production/assembly of device/kit,7,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Secure Letter of Intent for Licensing,7,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Business Plan crafted,7,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Processing of Requirements for Bureau of Animal Industry (BAI) or Bureau of Fisheries and Aquatic Resources (BFAR) or third-party Validation,7,Agri-Aqua Device and Diagnostic Kits,Regulatory Compliance Status,
Device/kit ready for commercial-scale production (replicable without error),8,Agri-Aqua Device and Diagnostic Kits,Technology Status,
BAI/BFAR/Third-party Validated,8,Agri-Aqua Device and Diagnostic Kits,Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Fairness Opinion Review requested,8,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Technology Licensing Agreement signed,9,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Technology fully commercialized/Device or kit commercially available to target users,9,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,Agri-Aqua Machinery and Facility,Technology Status,
Potential users or target beneficiaries identified,1,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Blueprint or design of the machine/facility completed,2,Agri-Aqua Machinery and Facility,Technology Status,
First prototype created,2,Agri-Aqua Machinery and Facility,Technology Status,
Initial assessment on the potential user,2,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Working prototype created,3,Agri-Aqua Machinery and Facility,Technology Status,
Prototype tested for basic operational capability,3,Agri-Aqua Machinery and Facility,Technology Status,
Proof of Potential Economic Viability,3,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Successfully operated under laboratory-scale or controlled conditions,4,Agri-Aqua Machinery and Facility,Technology Status,
Accomplished Initial Business Model Canvas (BMC),4,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Market Research conducted,4,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Machine/Facility stable during pilot-scale operation,5,Agri-Aqua Machinery and Facility,Technology Status,
Manual of operation established,5,Agri-Aqua Machinery and Facility,Technology Status,
Product promotion Conducted,5,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Meetings with potential industry partners,5,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Agreements with industry parters for product testing secured,6,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Multi-location testing conducted,6,Agri-Aqua Machinery and Facility,Technology Status,
Production or fabrication manual established,6,Agri-Aqua Machinery and Facility,Technology Status,
Preparing Requirements for Agricultural Machinery Testing and Evaluation Center (AMTEC) Certification,6,Agri-Aqua Machinery and Facility,Regulatory Compliance Status,
Technology Commercialization Plan prepared,6,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
IP Valuation Report Prepared,6,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Successful industry testing and validation,7,Agri-Aqua Machinery and Facility,Technology Status,
First replication achieved,7,Agri-Aqua Machinery and Facility,Technology Status,
Secure Letter of Intent for Licensing,7,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Business Plan crafted,7,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Ready for commercial-scale production (replicable/ operational without error),8,Agri-Aqua Machinery and Facility,Technology Status,
AMTEC Certification Secured,8,Agri-Aqua Machinery and Facility,Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Fairness Opinion Review requested,8,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Technology Licensing Agreement signed,9,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Technology fully commercialized/Machine or facility commercially available to target users,9,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Concept Development Completed,1,Animal Biotechnology,Technology Status,
Potential end-users and target markets identified,1,Animal Biotechnology,Market and Commercialization Status,
Initial Experiments Conducted in Laboratory,2,Animal Biotechnology,Technology Status,
DNA Sequence Identification/Profiling Conducted,2,Animal Biotechnology,Technology Status,
Genetic Analytical Protocol Established,2,Animal Biotechnology,Technology Status,
Preliminary Assessment of Potential User,2,Animal Biotechnology,Market and Commercialization Status,
Genetic Profiling Validated,3,Animal Biotechnology,Technology Status,
Proof of Potential Economic Viability,3,Animal Biotechnology,Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Potential users or target beneficiaries identified,1,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Initial experiments conducted in laboratory (benchscale),2,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Initial formulation created,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Initial assessment on the potential user,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Feeding Trial Experiments with Target Animals,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Formulation optimized based on initial results of feeding trial (check if not applicable),3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Proximate Analysis Conducted,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Proof of Potential Economic Viability,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Proximate analysis confirms nutritional adequacy,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Passed Toxicity Evaluation,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Established Storage Stability,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Accomplished Initial Business Model Canvas (BMC),4,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Market Research conducted,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Product formulation for scaled-up pilot production,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Pilot scale-based Manual of Production created,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Product promotion and packaging conducted,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Meetings with potential industry partners,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Product tested for scaled-up pilot production,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Agreements with industry parters for product testing secured,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
First industry-scale production completed,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
"Initial market tests conducted (trade shows, limited release)",6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Technology Commercialization Plan prepared,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
IP Valuation Report Prepared,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Successful validation of industry-scale production,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Standardized manual for industry-scale production established,7,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Secure Letter of Intent for Licensing,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Business Plan crafted,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Processing of Requirements for Bureau of Animal Industry (BAI) or Food and Drug Administration (FDA) Approval/Certification,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Regulatory Compliance Status,
Product ready for full-scale commercial production (replicable without error),8,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
BAI/FDA Approval or Certification Obtained,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Fairness Opinion Review requested,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Technology Licensing Agreement signed,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Technology fully commercialized/Product commercially available to target users,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Potential users or target beneficiaries identified,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Initial experiments conducted in laboratory (benchscale),2,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
First formulation created,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Initial assessment on the potential user,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
"Formulated product initially tested under laboratory conditions (efficacy, stability, compatibility)",3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Formulation optimized based on initial animal response,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Toxicity Test Conducted,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Proof of Potential Economic Viability,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Positive experimental results on product efficacy under controlled conditions,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Passed Toxicity Evaluation,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Shelf stability established,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Accomplished Initial Business Model Canvas (BMC),4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Market Research conducted,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Product formulation for scaled-up pilot production,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Pilot scale-based Manual of Production created,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Product promotion and packaging conducted,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Meetings with potential industry partners,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Product tested for scaled-up pilot production,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Agreements with industry parters for product testing secured,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
First industry-scale production completed,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Initial market tests conducted (demonstration to farmers or distributors),6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Commercialization Plan prepared,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
IP Valuation Report Prepared,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Successful validation of industry-scale production,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Standardized manual for industry-scale production established,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Secure Letter of Intent for Licensing,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Business Plan crafted,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Processing of Requirements for Fertilizer and Pesticide Authority (FPA) or Bureau of Agriculture and Fisheries Standards (BAFS) Approval/Certification,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Regulatory Compliance Status,
Product ready for full-scale commercial production (replicable without error),8,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
FPA/BAFS Registered,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Regulatory Compliance Status,
Technology Licensing Terms Negotiated,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Fairness Opinion Review requested,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Licensing Agreement signed,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Technology fully commercialized/Product commercially available to target users,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,"Food, Food Ingredients and Beverages",Technology Status,
Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,1,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Initial Experiments Conducted in Laboratory (Benchscale),2,"Food, Food Ingredients and Beverages",Technology Status,
First Prototype/Formulation Created for Sensory Analysis,2,"Food, Food Ingredients and Beverages",Technology Status,
Internal/Preliminary Sensory Screening Conducted,2,"Food, Food Ingredients and Beverages",Technology Status,
Initial Assessment on the Potential User,2,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Formulation for Highest Sensory Acceptability Optimized,3,"Food, Food Ingredients and Beverages",Technology Status,
Proximate Analysis Conducted to Assess Chemical Properties,3,"Food, Food Ingredients and Beverages",Technology Status,
Reasses Industry Relevance,3,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Product Validated Through Target Consumer Sensory Testing,4,"Food, Food Ingredients and Beverages",Technology Status,
Positive Proximate Analysis Confirmed,4,"Food, Food Ingredients and Beverages",Technology Status,
Shelf-life Established At least Under Laboratory Conditions,4,"Food, Food Ingredients and Beverages",Technology Status,
Market Viability Assessed using At least Secondary Data,4,"Food, Food Ingredients and Beverages",Technology Status,
Potential Industry Partner for Industry Testing Identified,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Market Research is conducted,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Product formulation for scaled-up pilot production,5,"Food, Food Ingredients and Beverages",Technology Status,
Pilot scale-based Manual of Production created,5,"Food, Food Ingredients and Beverages",Technology Status,
Product promotion and packaging conducted,5,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Meetings with potential industry partners,5,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Product tested for scaled-up pilot production,6,"Food, Food Ingredients and Beverages",Technology Status,
Agreements with industry parters for product testing secured,6,"Food, Food Ingredients and Beverages",Industry Adoption Status,
First industry-scale production Initiated,6,"Food, Food Ingredients and Beverages",Industry Adoption Status,
"Initial market tests conducted (trade shows, limited release)",6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Technology Commercialization Plan prepared,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
IP Valuation Report Prepared,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Successful validation of industry-scale production,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Standardized manual for industry-scale production established,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Secure Letter of Intent for Licensing,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Technology Licensing Terms Undergoing Negotiation,7,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Business Plan crafted,7,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Processing of Requirements for Food and Drug Administration (FDA) Approval/Certification,7,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
Product ready for full-scale commercial production (replicable without error),8,"Food, Food Ingredients and Beverages",Technology Status,
FDA Approval/Certification Obtained,8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
